Mon Jan 23 01:39:28 +0000 2012 	 RT @LordeOfPixar: I hate the US education system 	 Minnesota Bitch!  
Tue Jul 21 04:21:34 +0000 2009 	 I hate the US education system 	 Minnesota 
Tue Dec 30 14:57:23 +0000 2008 	 Israel lobbys trojan horse: Reforming US education law 2 defund Middle East studies programs http://t.co/vMklyWJX9S
Jewish Studies thrive 	 USA 
Fri Feb 01 03:23:21 +0000 2013 	 RT @BillMoyersHQ: Teachers boycotting standardized testing: a movement spreading across the US http://t.co/LbD1pzmz9b #education 	 Anywhere Fwd Thinking, US 
Mon Jul 04 05:08:42 +0000 2011 	 Ranil lecturing at Massachusetts Institute of Technology in USA: Colludes with Higher Education Minister and will tap US education system 	  
Sun Jan 27 03:58:11 +0000 2008 	 What can the US education system learn from the developing world? by @AdamBraun https://t.co/nlkRtleRFq 	 T: 33.291449,-111.832406 
Thu Oct 14 00:32:15 +0000 2010 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Sittin' on the dock of the Bay 
Sun Mar 20 21:45:13 +0000 2011 	 The US education system has turned me off from so many things. I thought about pursuing additional subjects, but I'd rather teach myself. 	 MU 
Thu Jan 30 13:55:14 +0000 2014 	 Northwest - family fishing events on April 26, 2014 9:00-2:00 at Trojan Pond http://t.co/WbWvOCbeQp 	 Oregon 
Sat May 26 06:40:43 +0000 2012 	 http://t.co/fuwruHaj8B Hair-Bullying and the Decline of US Education System - Huffington Post (blog) http://t.co/nZF4NXFBAw 	 Cherry Point, NC 
Tue Feb 25 17:38:19 +0000 2014 	 A Finnish view of US education - superficial but its changing.. 	 Spokane WA 
Thu Nov 21 01:41:55 +0000 2013 	 RT @defendressofsan: UN #Agenda21 New US Education : Goal is Dumb Worker Bees https://t.co/B15EPcCc3v #stopcommoncore 	  
Tue Nov 30 06:37:21 +0000 2010 	 @MGMattson Def not the call center.lol They(pay-rents) have such higher aspirations.... Aiming for us education;what else but #IvyLeague 	 Instagram : luvluvshoes  
Wed Mar 20 23:29:01 +0000 2013 	 RT @defendressofsan: UN #Agenda21 New US Education : Goal is Dumb Worker Bees https://t.co/B15EPcCc3v #stopcommoncore 	  
Sun Dec 02 19:52:28 +0000 2012 	 stupid US education system 	 San Diego, CA 
Wed Apr 02 14:23:08 +0000 2014 	 "racial gap in us education" well excuse me that our culture puts more emphasis on education instead of sports 	  
Mon May 24 00:20:37 +0000 2010 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 The Internet, USA 
Tue Jan 29 19:43:42 +0000 2008 	 If youre an educator looking for innovative classroom and school projects- join us. Education Forum- May 2-3 http://t.co/edTn4zTjUe #edchat 	 Philadelphia, PA 
Mon Dec 16 10:42:11 +0000 2013 	 @DianeRavitch @VictoriaL_Day BTW, I think both systems are entirely too test driven.  I applaud all you are doing for US education 	 MKE, Wisconsin 
Mon Oct 29 14:41:00 +0000 2012 	 RT @nyinvesting: @WhitneyNeal You can expand that "fail our children" to include much of US education system. Wasted taxpayer money. 	  
Sun Aug 04 00:14:03 +0000 2013 	 Sense from US education secretary | Kiwiblog - http://t.co/Lec6rcAu50 #GoogleAlerts 	 Atlanta 
Thu Aug 26 05:02:07 +0000 2010 	 Comparison of Mexican and Canada/US Education : Mexico Living http://t.co/NwQpUtc8E6 	  
Thu Mar 20 11:46:46 +0000 2008 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Home in New Mexico 
Mon Nov 24 05:03:28 +0000 2008 	 @WhitneyNeal You can expand that "fail our children" to include much of US education system. Wasted taxpayer money. 	 New York CIty 
Tue Mar 31 05:33:14 +0000 2009 	 Gamification of US education by Bahner as a curricular aide for students.  #AIUM14 http://t.co/HFUnGtFelJ 	 East Coast USA 
Thu Oct 31 17:29:24 +0000 2013 	 #obama #obamacare #teaparty: education notes Education notes: Feb. 18  Lexington Herald Leader http://t.co/NFBfIIUqEo 	  
